Measurement E8M1
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.25 - 0.35
W range: 1.1 - 1.12
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	75	6.144	1.14
1.515	7.5	105	6.084	0.8833
1.515	7.5	135	9.046	1.18
1.515	7.5	165	7.184	0.967
1.515	7.5	195	7.769	1.028
1.515	7.5	225	9.29	1.158
1.515	7.5	255	10.91	1.494
1.515	7.5	285	7.098	1.03
1.515	7.5	315	7.851	1.3
1.515	7.5	345	9.116	1.958
1.515	22.5	15	4.161	0.5011
1.515	22.5	45	6.375	0.692
1.515	22.5	75	6.391	0.701
1.515	22.5	105	10.57	0.8302
1.515	22.5	135	9.424	0.6829
1.515	22.5	165	9.994	0.716
1.515	22.5	195	10.22	0.7276
1.515	22.5	225	9.443	0.7111
1.515	22.5	255	8.626	0.7019
1.515	22.5	285	8.034	0.802
1.515	22.5	315	5.314	0.7023
1.515	22.5	345	3.545	0.4616
1.515	37.5	15	2.706	0.5349
1.515	37.5	45	3.927	0.9604
1.515	37.5	75	7.23	1.364
1.515	37.5	105	13.09	1.445
1.515	37.5	135	11.94	0.6891
1.515	37.5	165	12.55	0.6842
1.515	37.5	195	12.5	0.6721
1.515	37.5	225	11.16	0.6937
1.515	37.5	255	9.567	1.369
1.515	37.5	285	7.407	1.38
1.515	37.5	345	2.117	0.4929
1.515	52.5	45	5.374	0.4679
1.515	52.5	75	10.38	0.6033
1.515	52.5	105	13.3	1.426
1.515	52.5	135	14.8	1.904
1.515	52.5	165	11.83	0.682
1.515	52.5	195	11.49	0.6741
1.515	52.5	225	15.2	1.571
1.515	52.5	255	13.89	1.538
1.515	52.5	285	10.46	0.6233
1.515	52.5	315	5.489	0.4298
1.515	67.5	45	7.426	0.4513
1.515	67.5	75	12.34	0.5652
1.515	67.5	105	15.95	0.824
1.515	67.5	135	14.66	1.765
1.515	67.5	165	10.85	0.4997
1.515	67.5	195	9.676	0.453
1.515	67.5	225	14.21	2.008
1.515	67.5	255	15.58	0.7988
1.515	67.5	285	12.62	0.5593
1.515	67.5	315	7.809	0.444
1.515	82.5	45	10.34	1.648
1.515	82.5	75	13.25	0.5908
1.515	82.5	105	15.5	0.6608
1.515	82.5	135	13.91	1.193
1.515	82.5	165	9.829	0.4876
1.515	82.5	195	9.72	0.4816
1.515	82.5	225	11.35	1.202
1.515	82.5	255	15.74	0.6214
1.515	82.5	285	14.52	0.595
1.515	82.5	315	9.902	1.582
1.515	97.5	45	8.392	0.7128
1.515	97.5	75	15.15	0.9588
1.515	97.5	105	15.23	0.5919
1.515	97.5	135	12.89	1.081
1.515	97.5	165	9.687	0.6262
1.515	97.5	195	8.439	0.5152
1.515	97.5	225	11.87	1.302
1.515	97.5	255	15.41	0.5707
1.515	97.5	285	14.24	0.7933
1.515	97.5	315	8.719	0.7557
1.515	112.5	15	8.338	2.203
1.515	112.5	45	10.41	0.5897
1.515	112.5	75	11.85	1.083
1.515	112.5	105	14.82	0.6386
1.515	112.5	135	12.35	0.9932
1.515	112.5	165	8.873	0.9036
1.515	112.5	195	8.301	0.7197
1.515	112.5	225	10.79	0.9762
1.515	112.5	255	16.24	0.6409
1.515	112.5	285	12.64	1.066
1.515	112.5	315	10.88	0.6622
1.515	112.5	345	5.177	0.7198
1.515	127.5	15	5.566	0.8805
1.515	127.5	45	9.416	0.5876
1.515	127.5	75	11.73	1.104
1.515	127.5	105	13.17	1.116
1.515	127.5	135	13.24	3.02
1.515	127.5	225	12.94	1.381
1.515	127.5	255	13.15	1.055
1.515	127.5	285	10.77	0.9122
1.515	127.5	315	9.651	0.6424
1.515	127.5	345	6.883	1.483
1.515	142.5	15	8.906	1.115
1.515	142.5	45	10.89	1.294
1.515	142.5	75	14.47	1.028
1.515	142.5	285	13.76	1.186
1.515	142.5	315	13.2	1.534
1.515	142.5	345	7.686	1.278
1.515	157.5	15	11.62	2.729
1.515	157.5	345	9.92	2.008
Measurement E8M5
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.25 - 0.35
W range: 1.18 - 1.2
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	15	9.645	1.353
1.515	7.5	45	18.12	2.561
1.515	7.5	75	6.595	0.9442
1.515	7.5	105	13.18	2.457
1.515	7.5	135	10.96	1.202
1.515	7.5	165	9.543	1.224
1.515	7.5	195	10.76	1.237
1.515	7.5	225	10.87	1.207
1.515	7.5	255	8.709	1.112
1.515	7.5	285	11.11	1.551
1.515	7.5	315	14.52	1.939
1.515	7.5	345	12.27	1.886
1.515	22.5	15	7.654	2.175
1.515	22.5	45	6.493	0.779
1.515	22.5	75	10.06	1.019
1.515	22.5	105	11.5	0.7686
1.515	22.5	135	11.16	0.6936
1.515	22.5	165	12.74	0.7779
1.515	22.5	195	14.19	0.8658
1.515	22.5	225	12.7	0.7461
1.515	22.5	255	12.16	0.8518
1.515	22.5	285	8.624	0.8419
1.515	22.5	315	5.645	0.6571
1.515	22.5	345	4.984	0.8467
1.515	37.5	75	8.43	1.31
1.515	37.5	105	15.28	2.243
1.515	37.5	135	14.38	0.7348
1.515	37.5	165	14.11	0.6581
1.515	37.5	195	14.58	0.6868
1.515	37.5	225	14.45	0.7646
1.515	37.5	255	12.84	1.613
1.515	37.5	285	9.234	1.253
1.515	52.5	45	8.556	0.8697
1.515	52.5	75	14.64	0.6707
1.515	52.5	105	18.24	1.887
1.515	52.5	135	16.28	1.116
1.515	52.5	165	13.54	0.6663
1.515	52.5	195	13.7	0.6496
1.515	52.5	225	16.62	1.088
1.515	52.5	255	18.14	1.862
1.515	52.5	285	14.05	0.6452
1.515	52.5	315	7.388	0.6079
1.515	67.5	45	10.19	0.6133
1.515	67.5	75	17.23	0.6206
1.515	67.5	105	20.91	0.8517
1.515	67.5	135	20.75	2.066
1.515	67.5	165	13.61	0.5965
1.515	67.5	195	13.89	0.6093
1.515	67.5	225	15.71	1.353
1.515	67.5	255	19.65	0.7759
1.515	67.5	285	17.26	0.6408
1.515	67.5	315	10.26	0.5002
1.515	82.5	45	11.99	1.132
1.515	82.5	75	19.57	0.7081
1.515	82.5	105	23.27	0.8243
1.515	82.5	135	17.28	1.301
1.515	82.5	165	12.53	0.5233
1.515	82.5	195	12.79	0.5351
1.515	82.5	225	16.78	1.777
1.515	82.5	255	21.66	0.7194
1.515	82.5	285	18.63	0.6757
1.515	82.5	315	13.47	1.283
1.515	97.5	15	9.142	1.803
1.515	97.5	45	15.41	0.8817
1.515	97.5	75	21.29	1.231
1.515	97.5	105	20.87	0.6868
1.515	97.5	135	17.42	1.355
1.515	97.5	165	11.6	0.5988
1.515	97.5	195	11.8	0.6415
1.515	97.5	225	17.86	1.244
1.515	97.5	255	21.52	0.676
1.515	97.5	285	20.01	0.9516
1.515	97.5	315	13.57	0.7776
1.515	97.5	345	7.854	0.944
1.515	112.5	15	8.503	0.7153
1.515	112.5	45	13.47	0.5912
1.515	112.5	75	19.88	1.474
1.515	112.5	105	19.29	0.7022
1.515	112.5	135	14.23	1.239
1.515	112.5	165	10.45	0.9658
1.515	112.5	195	9.444	0.9869
1.515	112.5	225	14.98	1.048
1.515	112.5	255	19.84	0.675
1.515	112.5	285	19.05	1.118
1.515	112.5	315	13.73	0.6716
1.515	112.5	345	8.274	0.8248
1.515	127.5	15	9.335	0.8998
1.515	127.5	45	13.15	0.6653
1.515	127.5	75	15.76	0.9619
1.515	127.5	105	16.23	1.032
1.515	127.5	135	12.28	0.9252
1.515	127.5	225	12.88	0.8053
1.515	127.5	255	20.1	1.357
1.515	127.5	285	19.71	1.497
1.515	127.5	315	13.56	0.7309
1.515	127.5	345	10.73	1.017
1.515	142.5	15	11.16	1.067
1.515	142.5	45	11.95	0.9193
1.515	142.5	75	14.76	0.7867
1.515	142.5	285	15.3	0.9555
1.515	142.5	315	13.79	1.01
1.515	142.5	345	11.26	1.011
1.515	157.5	15	13.43	1.689
1.515	157.5	345	11.89	1.395
Measurement E8M6
Title: E89-038 CLAS experiment
