Measurement E8M1
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.25 - 0.35
W range: 1.1 - 1.12
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	22.5	165	11	0.7158
1.515	22.5	195	12.03	0.8007
1.515	22.5	225	9.285	0.8236
1.515	22.5	285	13.8	3.262
1.515	22.5	315	9.985	1.406
1.515	22.5	345	10.86	0.9394
1.515	37.5	15	9.898	1.896
1.515	37.5	45	10.17	1.4
1.515	37.5	105	14.59	1.446
1.515	37.5	135	11.38	0.6987
1.515	37.5	165	10.02	0.5011
1.515	37.5	195	9.925	0.4903
1.515	37.5	225	11.2	0.6956
1.515	37.5	255	11.55	1.17
1.515	37.5	315	10.15	1.35
1.515	37.5	345	11.42	2.645
1.515	52.5	45	9.285	0.5749
1.515	52.5	75	10.27	3.284
1.515	52.5	105	10.54	0.6362
1.515	52.5	135	9.708	0.594
1.515	52.5	165	7.943	0.4065
1.515	52.5	195	8.57	0.4241
1.515	52.5	225	9.487	0.5612
1.515	52.5	255	10.93	0.6324
1.515	52.5	285	14.65	3.5
1.515	52.5	315	9.011	0.6001
1.515	67.5	45	6.97	1.044
1.515	67.5	75	13.84	5.18
1.515	67.5	105	10.37	0.5239
1.515	67.5	135	9.606	0.5988
1.515	67.5	165	6.869	0.3556
1.515	67.5	195	7.197	0.3574
1.515	67.5	225	9.743	0.5963
1.515	67.5	255	10.17	0.5028
1.515	67.5	285	8.34	0.5026
1.515	67.5	315	7.672	1.206
1.515	82.5	15	4.832	1
1.515	82.5	45	6.865	1.136
1.515	82.5	75	8.534	0.4181
1.515	82.5	105	8.672	0.417
1.515	82.5	135	8.173	0.5616
1.515	82.5	165	6.121	0.3683
1.515	82.5	195	6.679	0.3906
1.515	82.5	225	8.63	0.5759
1.515	82.5	255	9.727	0.4273
1.515	82.5	285	8.49	0.4035
1.515	82.5	315	5.448	0.9662
1.515	82.5	345	6.463	1.813
1.515	97.5	15	3.411	0.7166
1.515	97.5	45	5.739	0.3614
1.515	97.5	75	6.533	0.4245
1.515	97.5	105	8.111	0.3951
1.515	97.5	135	6.226	0.4109
1.515	97.5	165	5.47	0.3433
1.515	97.5	195	5.395	0.3269
1.515	97.5	225	5.936	0.4073
1.515	97.5	255	8.215	0.4053
1.515	97.5	285	6.452	0.3943
1.515	97.5	315	5.567	0.3557
1.515	97.5	345	3.613	0.6342
1.515	112.5	15	3.75	0.68
1.515	112.5	45	4.594	0.3006
1.515	112.5	75	5.601	0.4344
1.515	112.5	105	6.577	0.3444
1.515	112.5	135	4.358	0.3218
1.515	112.5	165	3.593	0.2986
1.515	112.5	195	3.559	0.3238
1.515	112.5	225	5.001	0.3783
1.515	112.5	255	5.502	0.3045
1.515	112.5	285	5.447	0.4381
1.515	112.5	315	4.67	0.3025
1.515	112.5	345	3.401	0.5617
1.515	127.5	15	2.766	0.3268
1.515	127.5	45	3.678	0.3079
1.515	127.5	75	4.09	0.3442
1.515	127.5	105	4.533	0.3519
1.515	127.5	135	3.347	0.3419
1.515	127.5	165	2.544	0.3527
1.515	127.5	195	3	0.5273
1.515	127.5	225	3.397	0.3481
1.515	127.5	255	4.818	0.3691
1.515	127.5	285	4.439	0.3607
1.515	127.5	315	3.749	0.314
1.515	127.5	345	3.305	0.4111
1.515	142.5	15	1.955	0.2744
1.515	142.5	45	2.494	0.2901
1.515	142.5	75	3.893	0.3562
1.515	142.5	105	3.266	0.7456
1.515	142.5	255	3.221	0.6099
1.515	142.5	285	3.242	0.3505
1.515	142.5	315	2.89	0.3372
1.515	142.5	345	2.683	0.4503
1.515	157.5	15	2.745	0.9308
1.515	157.5	45	2.748	0.975
1.515	157.5	315	3.489	1.123
1.515	157.5	345	1.59	0.409
Measurement E8M57
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.45 - 0.55
W range: 1.28 - 1.3
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	15	18.79	2.955
1.515	7.5	45	12.1	1.823
1.515	7.5	75	14	2.114
1.515	7.5	105	17.77	3.659
1.515	7.5	135	26.68	13.05
1.515	7.5	255	16.47	2.983
1.515	7.5	285	11.5	1.983
1.515	7.5	315	15.63	2.219
1.515	7.5	345	14.14	1.828
1.515	22.5	15	11.64	1.009
1.515	22.5	45	11.74	1.59
1.515	22.5	75	11.93	1.927
1.515	22.5	165	9.228	1.107
1.515	22.5	195	9.865	1.392
1.515	22.5	285	13.95	2.171
1.515	22.5	315	9.395	1.267
1.515	22.5	345	11.08	0.9406
1.515	37.5	15	15.25	6.415
1.515	37.5	45	9.771	1.744
1.515	37.5	75	12.56	6.148
1.515	37.5	135	9.476	0.6233
1.515	37.5	165	10.69	0.5616
1.515	37.5	195	10.14	0.5414
1.515	37.5	225	8.668	0.5777
1.515	37.5	315	9.587	1.72
1.515	52.5	45	7.675	0.5068
1.515	52.5	75	6.903	1.089
1.515	52.5	105	8.54	0.5358
1.515	52.5	135	9.057	0.5598
1.515	52.5	165	7.546	0.4056
1.515	52.5	195	7.621	0.3875
1.515	52.5	225	9.336	0.5842
1.515	52.5	255	9.184	0.5669
1.515	52.5	285	13.35	4.482
1.515	52.5	315	7.328	0.4991
1.515	67.5	45	7.42	1.125
1.515	67.5	75	7.356	0.6555
1.515	67.5	105	7.646	0.4212
1.515	67.5	135	8.085	0.5463
1.515	67.5	165	6.562	0.353
1.515	67.5	195	6.489	0.3453
1.515	67.5	225	7.754	0.5182
1.515	67.5	255	8.403	0.4261
1.515	67.5	285	7.336	0.6345
1.515	67.5	315	5.819	0.841
1.515	82.5	15	2.552	0.4051
1.515	82.5	45	4.231	0.939
1.515	82.5	75	6.497	0.367
1.515	82.5	105	6.993	0.3592
1.515	82.5	135	6.494	0.4886
1.515	82.5	165	5.491	0.3822
1.515	82.5	195	5.113	0.3495
1.515	82.5	225	6.498	0.4578
1.515	82.5	255	6.973	0.3522
1.515	82.5	285	6.329	0.3433
1.515	82.5	315	4.337	0.778
1.515	97.5	15	2.161	0.6611
1.515	97.5	45	3.673	0.2728
1.515	97.5	75	4.485	0.3559
1.515	97.5	105	5.521	0.3184
1.515	97.5	135	4.963	0.3503
1.515	97.5	165	3.92	0.2644
1.515	97.5	195	3.999	0.2574
1.515	97.5	225	4.473	0.3479
1.515	97.5	255	6.07	0.3351
1.515	97.5	285	5.561	0.3886
1.515	97.5	315	3.61	0.2648
1.515	97.5	345	1.781	0.5407
1.515	112.5	15	2.32	0.5382
1.515	112.5	45	3.221	0.2489
1.515	112.5	75	3.757	0.3315
1.515	112.5	105	4.526	0.2984
1.515	112.5	135	3.147	0.264
1.515	112.5	165	3.558	0.3143
1.515	112.5	195	3.319	0.3022
1.515	112.5	225	3.148	0.2705
1.515	112.5	255	4.674	0.2918
1.515	112.5	285	4.214	0.3874
1.515	112.5	315	2.669	0.2168
1.515	112.5	345	2.843	0.5296
1.515	127.5	15	2.334	0.4081
1.515	127.5	45	2.332	0.2226
1.515	127.5	75	2.74	0.2802
1.515	127.5	105	3.309	0.3214
1.515	127.5	135	2.993	0.3675
1.515	127.5	165	1.813	0.2366
1.515	127.5	195	2.214	0.2858
1.515	127.5	225	2.842	0.345
1.515	127.5	255	2.719	0.2555
1.515	127.5	285	2.665	0.2487
1.515	127.5	315	2.361	0.2613
1.515	127.5	345	1.727	0.2481
1.515	142.5	15	1.062	0.1962
1.515	142.5	45	1.267	0.2003
1.515	142.5	75	1.833	0.2124
1.515	142.5	105	1.797	0.3605
1.515	142.5	135	1.347	0.2505
1.515	142.5	225	1.472	0.3127
1.515	142.5	255	1.346	0.2795
1.515	142.5	285	2.219	0.2989
1.515	142.5	315	1.608	0.2327
1.515	142.5	345	1.425	0.2454
1.515	157.5	15	1.258	0.3138
1.515	157.5	45	1.601	0.8325
1.515	157.5	315	1.494	0.6274
1.515	157.5	345	0.985	0.2423
Measurement E8M58
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.45 - 0.55
W range: 1.3 - 1.32
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	15	16.44	4.323
1.515	7.5	45	11.37	1.467
1.515	7.5	75	12.79	1.859
1.515	7.5	105	22.56	5.974
1.515	7.5	135	13.99	3.075
1.515	7.5	165	11.85	3.263
1.515	7.5	195	17.69	9.882
1.515	7.5	225	16.54	2.888
1.515	7.5	255	15.36	2.754
1.515	7.5	285	19.22	3.776
1.515	7.5	315	14.12	1.801
1.515	7.5	345	11.89	1.424
1.515	22.5	15	12.48	1.211
1.515	22.5	45	11.48	1.317
1.515	22.5	75	12.99	2.058
1.515	22.5	285	14.84	2
1.515	22.5	315	16.02	3.023
1.515	22.5	345	12.91	1.233
1.515	37.5	45	8.492	1.371
1.515	37.5	75	11.04	1.26
1.515	37.5	135	9.095	0.6769
1.515	37.5	165	7.94	0.443
1.515	37.5	195	7.81	0.4391
1.515	37.5	225	9.459	0.8599
1.515	37.5	285	8.989	1.125
1.515	37.5	315	7.769	1.018
1.515	52.5	45	6.876	0.4578
1.515	52.5	75	13.25	3.721
1.515	52.5	105	8.007	0.5416
1.515	52.5	135	7.69	0.4921
1.515	52.5	165	6.18	0.3464
1.515	52.5	195	6.64	0.3619
1.515	52.5	225	7.831	0.5138
1.515	52.5	255	7.42	0.5281
1.515	52.5	285	10.65	3.77
1.515	52.5	315	7.585	0.5382
1.515	67.5	45	4.325	0.7095
1.515	67.5	75	6.53	1.279
1.515	67.5	105	7.057	0.3915
1.515	67.5	135	6.489	0.4642
1.515	67.5	165	5.327	0.2888
1.515	67.5	195	5.748	0.3205
1.515	67.5	225	6.514	0.4495
1.515	67.5	255	7.037	0.3823
1.515	67.5	285	7.106	1.151
1.515	67.5	315	5.066	1.053
1.515	82.5	15	1.771	0.5014
1.515	82.5	45	3.365	0.8309
1.515	82.5	75	4.431	0.289
1.515	82.5	105	5.849	0.3178
1.515	82.5	135	5.691	0.4304
1.515	82.5	165	4.147	0.2994
1.515	82.5	195	4.025	0.2811
1.515	82.5	225	5.486	0.4352
1.515	82.5	255	5.133	0.2704
1.515	82.5	285	4.658	0.286
1.515	82.5	315	2.254	0.3613
1.515	82.5	345	2.047	0.3666
1.515	97.5	15	1.837	1.074
1.515	97.5	45	2.784	0.2441
1.515	97.5	75	3.821	0.3084
1.515	97.5	105	4.555	0.28
1.515	97.5	135	4.477	0.3618
1.515	97.5	165	3.335	0.2345
1.515	97.5	195	3.321	0.23
1.515	97.5	225	3.912	0.3447
1.515	97.5	255	3.762	0.2407
1.515	97.5	285	4.142	0.3238
1.515	97.5	315	3.09	0.2768
1.515	112.5	15	1.16	0.3094
1.515	112.5	45	1.642	0.1521
1.515	112.5	75	2.361	0.2446
1.515	112.5	105	2.68	0.2072
1.515	112.5	135	2.924	0.2724
1.515	112.5	165	2.739	0.2713
1.515	112.5	195	2.407	0.2446
1.515	112.5	225	2.822	0.2515
1.515	112.5	255	3.145	0.2301
1.515	112.5	285	2.804	0.2977
1.515	112.5	315	2.309	0.2136
1.515	112.5	345	1.556	0.3818
1.515	127.5	15	0.9368	0.1656
1.515	127.5	45	1.517	0.1815
1.515	127.5	75	1.75	0.2018
1.515	127.5	105	2.132	0.2405
1.515	127.5	135	2.03	0.2451
1.515	127.5	165	2.295	0.5866
1.515	127.5	195	1.779	0.269
1.515	127.5	225	2.024	0.3307
1.515	127.5	255	1.978	0.2115
1.515	127.5	285	2.217	0.259
1.515	127.5	315	2.006	0.3354
1.515	127.5	345	0.9653	0.172
1.515	142.5	15	0.6536	0.1231
1.515	142.5	45	1.169	0.2293
1.515	142.5	75	1.505	0.2072
1.515	142.5	105	0.9316	0.2101
1.515	142.5	135	1.144	0.2804
1.515	142.5	255	0.9662	0.2431
1.515	142.5	285	1.197	0.1931
1.515	142.5	315	1.051	0.1827
1.515	142.5	345	0.7625	0.1403
1.515	157.5	15	0.8436	0.3637
1.515	157.5	75	0.6529	0.3031
1.515	157.5	345	0.4348	0.1596
Measurement E8M59
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.45 - 0.55
W range: 1.32 - 1.34
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	15	13.73	1.753
1.515	7.5	45	12.68	1.631
1.515	7.5	75	10.04	1.504
1.515	7.5	105	12.08	1.844
1.515	7.5	135	12.14	2.217
1.515	7.5	165	7.766	1.735
1.515	7.5	195	20.68	5.09
1.515	7.5	225	10.39	2.016
1.515	7.5	255	11.72	2.015
1.515	7.5	285	10.72	1.486
1.515	7.5	315	12.8	1.761
1.515	7.5	345	13.64	1.753
1.515	22.5	15	11.15	1.022
1.515	22.5	45	11.15	2.363
1.515	22.5	75	12.11	1.666
1.515	22.5	105	13.57	2.562
1.515	22.5	255	12.25	1.897
1.515	22.5	285	12.84	1.601
1.515	22.5	315	12.7	2.167
1.515	22.5	345	12.98	1.282
1.515	37.5	45	10.12	1.673
1.515	37.5	75	9.104	0.9899
1.515	37.5	135	6.847	0.8093
1.515	37.5	165	6.947	0.4089
1.515	37.5	195	6.083	0.381
1.515	37.5	225	8.829	1.579
1.515	37.5	285	10.19	1.176
1.515	37.5	315	7.762	1.138
1.515	52.5	45	6.627	0.4829
1.515	52.5	75	11.46	3.844
1.515	52.5	105	7.148	0.652
1.515	52.5	135	6.754	0.4709
1.515	52.5	165	5.059	0.2793
1.515	52.5	195	4.92	0.2839
1.515	52.5	225	6.306	0.4307
1.515	52.5	255	6.635	0.5673
1.515	52.5	285	6.872	1.532
1.515	52.5	315	6.742	0.5389
1.515	67.5	45	6.645	1.891
1.515	67.5	75	5.67	0.6457
1.515	67.5	105	6.494	0.3638
1.515	67.5	135	5.393	0.4108
1.515	67.5	165	4.388	0.2707
1.515	67.5	195	4.62	0.2689
1.515	67.5	225	4.904	0.359
1.515	67.5	255	6.264	0.3375
1.515	67.5	285	4.682	0.4344
1.515	67.5	315	6.083	1.196
1.515	82.5	15	2.038	0.4055
1.515	82.5	45	2.695	0.5218
1.515	82.5	75	4.345	0.313
1.515	82.5	105	5.078	0.3027
1.515	82.5	135	4.36	0.3484
1.515	82.5	165	2.952	0.2252
1.515	82.5	195	3.779	0.2701
1.515	82.5	225	4.554	0.3785
1.515	82.5	255	5.092	0.2974
1.515	82.5	285	4.229	0.2919
1.515	82.5	315	6.468	2.45
1.515	82.5	345	1.738	0.5362
1.515	97.5	15	1.066	0.4052
1.515	97.5	45	2.395	0.2115
1.515	97.5	75	3.479	0.3147
1.515	97.5	105	3.552	0.2321
1.515	97.5	135	3.61	0.3192
1.515	97.5	165	2.505	0.2061
1.515	97.5	195	2.826	0.2341
1.515	97.5	225	2.879	0.303
1.515	97.5	255	3.798	0.2613
1.515	97.5	285	3.092	0.2812
1.515	97.5	315	2.005	0.1866
1.515	112.5	15	1.084	0.3014
1.515	112.5	45	1.222	0.1546
1.515	112.5	75	1.935	0.2294
1.515	112.5	105	2.561	0.2386
1.515	112.5	135	2.382	0.2336
1.515	112.5	165	1.869	0.1939
1.515	112.5	195	1.779	0.1837
1.515	112.5	225	2.058	0.1982
1.515	112.5	255	2.716	0.2432
1.515	112.5	285	2.297	0.2813
1.515	112.5	315	1.809	0.1886
1.515	112.5	345	1.537	0.4171
1.515	127.5	15	0.5744	0.1136
1.515	127.5	45	1.209	0.2354
1.515	127.5	75	1.75	0.2389
1.515	127.5	105	1.537	0.175
1.515	127.5	135	1.954	0.2944
1.515	127.5	165	1.423	0.2376
1.515	127.5	195	2.445	1.003
1.515	127.5	225	1.53	0.2108
1.515	127.5	255	1.94	0.2499
1.515	127.5	285	1.582	0.2602
1.515	127.5	315	1.081	0.1596
1.515	127.5	345	0.5485	0.13
1.515	142.5	15	0.5836	0.1605
1.515	142.5	45	0.5452	0.1117
1.515	142.5	75	0.7797	0.1222
1.515	142.5	105	0.643	0.1679
1.515	142.5	255	1.702	0.645
1.515	142.5	285	0.8003	0.1274
1.515	142.5	315	0.5509	0.1094
1.515	142.5	345	0.3436	0.08679
1.515	157.5	15	0.5388	0.2653
1.515	157.5	285	0.615	0.1632
1.515	157.5	345	0.3207	0.1273
Measurement E8M60
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.45 - 0.55
W range: 1.34 - 1.36
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	15	11.64	2.258
1.515	7.5	45	12.7	1.793
1.515	7.5	75	14.34	2.329
1.515	7.5	105	10.15	1.488
1.515	7.5	135	8.688	1.257
1.515	7.5	165	8.088	1.344
1.515	7.5	195	14.82	2.471
1.515	7.5	225	10.11	1.555
1.515	7.5	255	13.18	2.289
1.515	7.5	285	10.41	1.746
1.515	7.5	315	11.79	1.755
1.515	7.5	345	13.13	1.687
1.515	22.5	15	9.57	1.147
1.515	22.5	45	9.493	1.848
1.515	22.5	75	11.52	1.554
1.515	22.5	105	7.223	0.9585
1.515	22.5	255	9.559	1.275
1.515	22.5	285	12.66	1.761
1.515	22.5	315	11.26	2.13
1.515	22.5	345	9.051	0.9752
1.515	37.5	45	10.56	1.754
1.515	37.5	75	8.796	0.8548
1.515	37.5	165	4.735	0.3875
1.515	37.5	195	5.685	0.4321
1.515	37.5	285	7.282	0.7523
1.515	37.5	315	10.04	2.502
1.515	52.5	45	6.089	0.5657
1.515	52.5	75	9.22	1.714
1.515	52.5	135	5.696	0.406
1.515	52.5	165	4.879	0.2794
1.515	52.5	195	5.131	0.3016
1.515	52.5	225	5.897	0.4177
1.515	52.5	255	5.717	0.5427
1.515	52.5	285	10.04	4.265
1.515	52.5	315	6.444	0.666
1.515	67.5	45	3.692	0.5365
1.515	67.5	75	4	1.313
1.515	67.5	105	6.273	0.3501
1.515	67.5	135	5.58	0.4113
1.515	67.5	165	4.106	0.2591
1.515	67.5	195	3.861	0.2373
1.515	67.5	225	4.967	0.3793
1.515	67.5	255	5.378	0.3078
1.515	67.5	285	3.624	0.4311
1.515	67.5	315	4.897	0.8784
1.515	82.5	15	1.253	0.2017
1.515	82.5	45	2.686	0.5759
1.515	82.5	75	3.98	0.3341
1.515	82.5	105	4.473	0.2589
1.515	82.5	135	4.046	0.32
1.515	82.5	165	2.994	0.2366
1.515	82.5	195	3.264	0.2499
1.515	82.5	225	3.794	0.3135
1.515	82.5	255	4.334	0.2471
1.515	82.5	285	3.528	0.2471
1.515	82.5	315	3.268	0.75
1.515	97.5	45	1.716	0.1949
1.515	97.5	75	2.439	0.2321
1.515	97.5	105	3.143	0.2114
1.515	97.5	135	3.132	0.3247
1.515	97.5	165	2.448	0.2685
1.515	97.5	195	2.099	0.2002
1.515	97.5	225	3.195	0.3189
1.515	97.5	255	3.538	0.2445
1.515	97.5	285	3.012	0.3339
1.515	97.5	315	1.894	0.1941
1.515	112.5	15	0.8987	0.2903
1.515	112.5	45	1.105	0.1407
1.515	112.5	75	1.691	0.2151
1.515	112.5	105	2.308	0.2275
1.515	112.5	135	2.096	0.2299
1.515	112.5	165	1.681	0.2077
1.515	112.5	195	1.544	0.181
1.515	112.5	225	1.886	0.2072
1.515	112.5	255	1.777	0.1718
1.515	112.5	285	1.028	0.134
1.515	112.5	315	1.196	0.1582
1.515	112.5	345	0.648	0.2235
1.515	127.5	15	0.5249	0.1651
1.515	127.5	45	0.7059	0.0988
1.515	127.5	75	0.9259	0.1476
1.515	127.5	105	1.165	0.17
1.515	127.5	135	1.068	0.1531
1.515	127.5	165	1.57	0.4664
1.515	127.5	195	1.328	0.2403
1.515	127.5	225	1.382	0.1924
1.515	127.5	255	1.226	0.2045
1.515	127.5	285	1.028	0.1578
1.515	127.5	315	0.766	0.1463
1.515	127.5	345	0.2733	0.07012
1.515	142.5	15	0.3508	0.1099
1.515	142.5	45	0.4292	0.09316
1.515	142.5	75	0.6802	0.1655
1.515	142.5	105	0.7268	0.3048
1.515	142.5	255	1.129	0.4043
1.515	142.5	285	0.8689	0.183
1.515	142.5	315	0.3021	0.07794
1.515	142.5	345	0.3196	0.1024
1.515	157.5	15	0.3277	0.1295
1.515	157.5	75	0.2563	0.08961
1.515	157.5	285	0.5877	0.2334
1.515	157.5	345	0.2845	0.1895
Measurement E8M61
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.45 - 0.55
W range: 1.36 - 1.38
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	15	11.52	1.545
1.515	7.5	45	10.8	1.562
1.515	7.5	75	9.731	1.325
1.515	7.5	105	9.216	1.308
1.515	7.5	135	7.947	1.067
1.515	7.5	165	10.71	1.683
1.515	7.5	195	11.25	1.992
1.515	7.5	225	6.876	1.157
1.515	7.5	255	8.195	1.241
1.515	7.5	285	9.868	1.459
1.515	7.5	315	13.99	2.245
1.515	7.5	345	10.65	1.525
1.515	22.5	15	10.51	1.455
1.515	22.5	45	8.529	1.382
1.515	22.5	75	9.003	1.481
1.515	22.5	105	8.365	1.042
1.515	22.5	135	9.012	1.706
1.515	22.5	225	7.588	1.67
1.515	22.5	255	7.298	1.001
1.515	22.5	285	10.79	2.906
1.515	22.5	315	8.254	2.307
1.515	22.5	345	7.676	1.005
1.515	37.5	45	6.73	0.6341
1.515	37.5	75	8.336	0.7562
1.515	37.5	165	4.913	0.6264
1.515	37.5	195	5.025	0.932
1.515	37.5	285	8.21	0.9102
1.515	37.5	315	7.663	0.8527
1.515	52.5	45	6.686	0.9056
1.515	52.5	75	6.55	0.6868
1.515	52.5	105	8.342	2.828
1.515	52.5	135	5.354	0.4247
1.515	52.5	165	3.866	0.2356
1.515	52.5	195	4.303	0.2641
1.515	52.5	225	5.768	0.4277
1.515	52.5	255	5.866	1.88
1.515	52.5	285	7.498	0.8384
1.515	52.5	315	6.408	0.7824
1.515	67.5	45	3.766	0.4985
1.515	67.5	75	4.119	0.6321
1.515	67.5	105	5.531	0.3151
1.515	67.5	135	4.176	0.3198
1.515	67.5	165	2.78	0.1886
1.515	67.5	195	3.093	0.208
1.515	67.5	225	4.128	0.3122
1.515	67.5	255	5.472	0.3027
1.515	67.5	285	4.562	1.212
1.515	67.5	315	4.132	0.6742
1.515	82.5	15	1.047	0.1732
1.515	82.5	45	2.345	0.5228
1.515	82.5	75	3.185	0.2717
1.515	82.5	105	3.753	0.2358
1.515	82.5	135	3.129	0.2702
1.515	82.5	165	2.551	0.2053
1.515	82.5	195	2.947	0.2433
1.515	82.5	225	3.192	0.2746
1.515	82.5	255	4.11	0.2532
1.515	82.5	285	2.947	0.232
1.515	82.5	315	3.258	0.8431
1.515	82.5	345	1.414	0.2876
1.515	97.5	45	2.151	0.2417
1.515	97.5	75	2.26	0.2446
1.515	97.5	105	2.449	0.1751
1.515	97.5	135	2.17	0.2186
1.515	97.5	165	1.891	0.1985
1.515	97.5	195	2.436	0.2384
1.515	97.5	225	2.669	0.2627
1.515	97.5	255	2.549	0.1939
1.515	97.5	285	2.219	0.2205
1.515	97.5	315	1.644	0.1605
1.515	112.5	15	0.5084	0.1668
1.515	112.5	45	1.094	0.1396
1.515	112.5	75	1.625	0.2031
1.515	112.5	105	1.632	0.1683
1.515	112.5	135	1.479	0.1577
1.515	112.5	165	1.298	0.1788
1.515	112.5	195	1.427	0.1796
1.515	112.5	225	1.411	0.1553
1.515	112.5	255	1.576	0.163
1.515	112.5	285	1.536	0.2181
1.515	112.5	315	1.024	0.137
1.515	112.5	345	0.5736	0.1346
1.515	127.5	15	0.2951	0.07516
1.515	127.5	45	0.5442	0.1022
1.515	127.5	75	0.7452	0.1263
1.515	127.5	105	1.175	0.192
1.515	127.5	135	1.109	0.2623
1.515	127.5	165	0.9005	0.2145
1.515	127.5	195	0.9939	0.1923
1.515	127.5	225	0.9518	0.2051
1.515	127.5	255	0.8872	0.1199
1.515	127.5	285	0.7338	0.1368
1.515	127.5	315	0.5151	0.08945
1.515	127.5	345	0.2929	0.07826
1.515	142.5	15	0.3822	0.1479
1.515	142.5	45	0.2879	0.06737
1.515	142.5	75	0.6736	0.1721
1.515	142.5	105	0.5797	0.2763
1.515	142.5	135	0.5793	0.1472
1.515	142.5	225	0.6293	0.1588
1.515	142.5	255	0.6136	0.191
1.515	142.5	285	0.3014	0.07142
1.515	142.5	315	0.3504	0.08075
1.515	142.5	345	0.2651	0.08663
1.515	157.5	15	0.333	0.1264
1.515	157.5	75	0.5669	0.2428
1.515	157.5	315	0.2502	0.1489
1.515	157.5	345	0.4606	0.1964
Measurement E8M62
Title: E89-038 CLAS experiment
Spokespersons: V. Burkert, R. Minehart
Year: 1999
Q^2 range: 0.45 - 0.55
W range: 1.38 - 1.4
Epsilon is not available
Data:
Beam energy	theta_pi	phi_pi	dsigma/dOmega	Data errors
GeV	deg	deg	mcbn/sterad	mcbn/sterad
1.515	7.5	15	8.833	1.119
1.515	7.5	45	8.569	1.365
1.515	7.5	75	10.8	2.845
1.515	7.5	105	6.801	1.05
1.515	7.5	135	14.3	3.032
1.515	7.5	165	7.061	1.078
1.515	7.5	195	12.9	2.273
1.515	7.5	225	7.483	1.091
1.515	7.5	255	8.654	1.427
1.515	7.5	285	11.26	2.747
1.515	7.5	315	9.515	1.402
1.515	7.5	345	10.1	1.205
1.515	22.5	15	9.573	2.081
1.515	22.5	45	10.4	5.676
1.515	22.5	75	8.453	1.271
1.515	22.5	105	8.251	0.9764
1.515	22.5	135	7.606	0.9592
1.515	22.5	165	8.876	3.302
1.515	22.5	195	6.756	1.102
1.515	22.5	225	6.045	0.9567
1.515	22.5	255	8.382	1.049
1.515	22.5	285	7.53	1.08
1.515	22.5	315	6.88	1.354
1.515	22.5	345	8.305	1.338
1.515	37.5	45	7.073	0.6931
1.515	37.5	75	8.079	0.6583
1.515	37.5	105	7.415	1.879
1.515	37.5	255	9.529	3.076
1.515	37.5	285	7.075	0.6109
1.515	37.5	315	7.163	0.7788
1.515	52.5	45	5.904	1.707
1.515	52.5	75	7.157	0.6155
1.515	52.5	135	4.798	0.4154
1.515	52.5	165	3.741	0.2425
1.515	52.5	195	3.623	0.2353
1.515	52.5	225	3.867	0.3549
1.515	52.5	285	5.779	0.6154
1.515	52.5	315	5.79	0.8674
1.515	67.5	45	4.132	0.4779
1.515	67.5	75	5.15	0.8758
1.515	67.5	105	5.029	0.305
1.515	67.5	135	3.548	0.2956
1.515	67.5	165	2.674	0.1858
1.515	67.5	195	3.286	0.2191
1.515	67.5	225	3.729	0.2894
1.515	67.5	255	5.272	0.3057
1.515	67.5	285	5.712	2.23
1.515	67.5	315	3.475	0.416
1.515	82.5	15	1.21	0.2157
1.515	82.5	45	2.349	0.3651
1.515	82.5	75	3.263	0.3098
1.515	82.5	105	3.239	0.2038
1.515	82.5	135	3.217	0.2881
1.515	82.5	165	2.305	0.1914
1.515	82.5	195	2.297	0.1926
1.515	82.5	225	3.07	0.27
1.515	82.5	255	3.685	0.221
1.515	82.5	285	3.429	0.3018
1.515	82.5	315	2.779	0.8881
1.515	82.5	345	0.9568	0.2171
1.515	97.5	15	1.25	0.7586
1.515	97.5	45	1.407	0.1623
1.515	97.5	75	2.561	0.3778
1.515	97.5	105	2.498	0.1868
